timestamp,currency,impact,title
1776781800,USD,high,Core Retail Sales m/m
1776781800,USD,high,Retail Sales m/m
1776787200,USD,high,Fed Chair-Designate Warsh Testifies
1776787200,USD,medium,Pending Home Sales m/m
